Designator,Mid X,Mid Y,Rotation,Layer
C1,164.2,-95.4,315.0,top
C10,163.59,-104.54,90.0,top
C11,162.31,-109.13,270.0,top
C12,162.31,-107.05,90.0,top
C13,158.698008,-91.611992,45.0,top
C14,147.131992,-96.371992,135.0,top
C15,155.52,-94.47,0.0,bottom
C16,143.4483,-91.948,0.0,top
C17,166.8,-103.07,0.0,top
C18,150.32,-133.95,0.0,top
C19,137.59,-133.025,90.0,top
C2,152.78,-108.0,135.0,top
C20,142.06,-133.115,90.0,top
C21,146.31,-85.68,270.0,top
C22,148.09,-88.22,0.0,top
C23,167.17,-86.61,270.0,top
C24,165.59,-86.61,270.0,top
C25,165.58,-89.83,90.0,top
C26,151.67,-82.5,0.0,top
C27,153.45,-87.25,180.0,top
C28,158.3775,-84.025,90.0,top
C29,141.17375,-79.84,0.0,top
C3,158.0,-108.4,315.0,top
C30,139.38375,-81.92,90.0,top
C31,141.18375,-81.36,0.0,top
C32,142.98375,-83.16,90.0,top
C33,143.32,-110.0,180.0,top
C34,159.94,-123.14,0.0,top
C35,160.24,-108.92,180.0,bottom
C36,160.23,-110.43,180.0,bottom
C37,140.63,-139.18,180.0,top
C4,163.0,-96.6,315.0,top
C5,156.750589,-91.120589,135.0,top
C6,146.630589,-98.319411,225.0,top
C7,167.2,-99.21,0.0,top
C8,167.2,-100.79,0.0,top
C9,162.04,-103.85,225.0,top
D1,161.05,-113.9175,90.0,top
D2,161.82,-135.2025,270.0,top
D3,144.67,-133.0975,90.0,top
D4,140.655,-121.135,270.0,top
D5,133.0,-121.22,270.0,bottom
D6,134.05,-118.17,180.0,bottom
D7,134.05,-116.17,180.0,bottom
D8,133.0,-113.12,90.0,bottom
FB1,164.92,-100.0,270.0,top
J1,131.0,-103.53,0.0,top
J2,132.317,-91.9482,270.0,top
J3,150.0,-132.0725,0.0,bottom
J4,169.21,-114.535,0.0,top
J5,166.83,-125.46,0.0,top
J6,150.0,-139.18,0.0,bottom
J7,131.0,-116.17,90.0,top
L1,139.95,-136.15,180.0,top
L2,159.4625,-124.98,90.0,top
Q1,148.42,-135.0575,180.0,top
Q2,155.74,-134.825,270.0,top
R1,145.54,-102.26,180.0,top
R10,134.132,-97.81,0.0,top
R11,134.132,-86.09,0.0,top
R13,138.69,-129.67,0.0,top
R14,163.45,-134.77125,270.0,top
R15,138.69,-130.7,180.0,top
R16,147.48,-132.34,90.0,top
R17,159.45,-120.1375,270.0,top
R18,139.0,-120.71,270.0,top
R19,153.4075,-135.11,90.0,top
R2,145.54,-103.32,180.0,top
R20,154.75,-131.29,270.0,top
R21,152.9,-133.6425,180.0,top
R22,154.24,-129.82,180.0,top
R23,158.07,-135.11,90.0,top
R24,156.07,-131.29,270.0,top
R25,158.58,-133.64,0.0,top
R26,156.59,-129.82,0.0,top
R27,145.0,-108.52,270.0,bottom
R28,138.96,-118.18,180.0,top
R29,138.96,-116.18,180.0,top
R3,148.79,-107.96,270.0,top
R30,146.71,-104.9,0.0,bottom
R4,161.07,-92.94,315.0,top
R5,162.7,-114.35,90.0,top
R6,163.79,-91.55,180.0,top
R7,160.97,-89.72,270.0,top
R8,139.92375,-85.48,0.0,top
R9,142.44375,-85.48,180.0,top
SW1,140.975,-107.4,0.0,top
U1,155.35,-100.0,45.0,top
U10,150.0,-118.0,90.0,top
U11,149.67,-120.05,90.0,bottom
U2,155.35,-100.0,0.0,bottom
U3,140.0992,-91.95,180.0,top
U4,166.805,-104.59,90.0,top
U5,139.95,-133.15,90.0,top
U6,148.3575,-85.92,270.0,top
U7,163.28,-88.23,180.0,top
U8,141.18375,-83.16,90.0,top
U9,156.005,-82.75,180.0,top
Y1,164.61,-108.63,90.0,top
